Timestamp,Email address,Full Name,Class,College Number,Mobile Number,(AM) Slot Selection,(PM) Slot Selection,My Ambition
08/07/2023 22:24:54,162,Mohd Firdaus,508,162,162,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,PHARMACIST
08/07/2023 22:24:54,163,Norazura,510,163,163,Computer Science/IT,Computer Science/IT,IT PROGRAMMER
08/07/2023 22:24:55,164,Ismail Ali,503,164,164,Computer Science/IT,Entertainment/Film/Music/Modeling/Multimedia,GAME DEVELOPER
08/07/2023 22:24:56,165,Nurul Hidayah,502,165,165,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Lawyer/Legal,DERMATOLOGIST AND LAWYER
08/07/2023 22:24:56,166,Hafizul Rahman,509,166,166,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,ORTHOPEDIC
08/07/2023 22:24:58,167,Norhafiza,503,167,167,Architecture/Interior Design/Arts & Design,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,-
08/07/2023 22:24:58,168,Muhammad Zain,503,168,168,Others/Undecided,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,PEGAWAI TADBIR DIPLOMAT
08/07/2023 22:24:59,169,Fazilah Abdullah,507,169,169,Engineering,Architecture/Interior Design/Arts & Design,CHEMICAL ENGINEER OR ARCHITECT
08/07/2023 22:24:59,170,Khairul Anuar,504,170,170,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,VETERINARIAN 
08/07/2023 22:25:04,171,Norhayati Mohd,504,171,171,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,NEUROSURGEON 
08/07/2023 22:25:05,172,Mohd Azri,510,172,172,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,ENGINEER
08/07/2023 22:25:05,173,Siti Norazlina,505,173,173,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,DENTIST
08/07/2023 22:25:10,174,Razman Mohd,510,174,174,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Engineering,NEUROSURGEON
08/07/2023 22:25:11,175,Norazizah,506,175,175,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Engineering,AEROSPACE ENGINEERING 
08/07/2023 22:25:13,176,Mohd Rizal,510,176,176,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Architecture/Interior Design/Arts & Design,SURGEON
08/07/2023 22:25:15,177,Nurul Ain,508,177,177,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,LECTURE 
08/07/2023 22:25:20,178,Azhar Ahmad,504,178,178,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Architecture/Interior Design/Arts & Design,STILL NOT DECIDED
08/07/2023 22:25:21,179,Noraini Mohd,508,179,179,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR
08/07/2023 22:25:22,180,Faisal Ismail,502,180,180,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,PHARMACIST
08/07/2023 22:25:23,181,Norazlin,501,181,181,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,PILOT
08/07/2023 22:25:24,182,Mohd Azlan,510,182,182,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Entertainment/Film/Music/Modeling/Multimedia,UNDECIDED
08/07/2023 22:25:24,183,Siti Norfazilah,507,183,183,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,DERMATOLOGIST 
08/07/2023 22:25:26,184,Amirul Hakim,505,184,184,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Lawyer/Legal,BIOCHEMIST SCIENTIST
08/07/2023 22:25:26,185,Norazimah,501,185,185,Others/Undecided,Business/Enterpreneurship/Accounting/Banking/Finance,ACCOUNTANT
08/07/2023 22:25:26,186,Iskandar Ibrahim,506,186,186,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,DOCTOR
08/07/2023 22:25:26,187,Norzila,504,187,187,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,MEDICAL FIELD
08/07/2023 22:25:27,188,Haziqah Mohd,505,188,188,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,ANAESTHESIOLOGIST
08/07/2023 22:25:28,189,Nurul Izzah,507,189,189,Engineering,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,ENGINEER
08/07/2023 22:25:29,190,Mohd Azmi,510,190,190,Engineering,Entertainment/Film/Music/Modeling/Multimedia,PETROLEUM ENGINEER 
08/07/2023 22:25:29,191,Farah Hani,511,191,191,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DERMATOLOGIST
08/07/2023 22:25:31,192,Khairul Azmi,502,192,192,Others/Undecided,Entertainment/Film/Music/Modeling/Multimedia,I HAVE NONE 
08/07/2023 22:25:37,193,Nor Azura,511,193,193,Engineering,Computer Science/IT,ACCOUNTANT
08/07/2023 22:25:40,194,Zainal Abidin,504,194,194,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,DOCTOR
08/07/2023 22:25:40,195,Siti NorI,509,195,195,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,PSYCHOLOGIST 
08/07/2023 22:25:41,196,Norhayati,511,196,196,Architecture/Interior Design/Arts & Design,Computer Science/IT,IM NOT SURE
08/07/2023 22:25:42,197,Mohd Firdaus,511,197,197,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,PSYCHIATRIST
08/07/2023 22:25:42,198,Norazura,501,198,198,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,BUSINESSMAN
08/07/2023 22:25:42,199,Ismail Ali,509,199,199,Others/Undecided,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,VETERINARIAN 
08/07/2023 22:25:43,200,Nurul Hidayah,508,200,200,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Entertainment/Film/Music/Modeling/Multimedia,DOCTOR 
08/07/2023 22:25:45,201,Hafizul Rahman,511,201,201,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Lawyer/Legal,AN ENGLISH TEACHER
08/07/2023 22:25:47,202,Norhafiza,510,202,202,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,PILOT
08/07/2023 22:25:50,203,Muhammad Zain,502,203,203,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,ENGINEER
08/07/2023 22:25:53,204,Fazilah Abdullah,507,204,204,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,VETERINARY
08/07/2023 22:25:59,205,Khairul Anuar,509,205,205,Engineering,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,SDG ENGINEER
08/07/2023 22:26:00,206,Norhayati Mohd,505,206,206,Architecture/Interior Design/Arts & Design,Entertainment/Film/Music/Modeling/Multimedia,ARCHITECT
08/07/2023 22:26:01,207,Mohd Azri,502,207,207,Lawyer/Legal,Business/Enterpreneurship/Accounting/Banking/Finance,HUMAN RESOURCES OFFICER
08/07/2023 22:26:01,208,Siti Norazlina,502,208,208,Business/Enterpreneurship/Accounting/Banking/Finance,Engineering,CIVIL ENGINEERING
08/07/2023 22:26:05,209,Razman Mohd,509,209,209,Computer Science/IT,Entertainment/Film/Music/Modeling/Multimedia,PROGRAMMER
08/07/2023 22:26:14,210,Norazizah,501,210,210,Business/Enterpreneurship/Accounting/Banking/Finance,Architecture/Interior Design/Arts & Design,ARKITEK OR ACCOUNTANT
08/07/2023 22:26:25,211,Mohd Rizal,508,211,211,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Engineering,ASTROPHYSICIST
08/07/2023 22:26:27,212,Nurul Ain,508,212,212,Architecture/Interior Design/Arts & Design,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,ARCHITECT 
08/07/2023 22:26:35,213,Azhar Ahmad,511,213,213,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,"EITHER A SCIENTIST, OR SOMETHING RELATED TO MATHEMATICS. IM NOT ENTIRELY SURE YET"
08/07/2023 22:26:43,214,Noraini Mohd,505,214,214,Engineering,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,MARINE BIOLOGIST 
08/07/2023 22:26:48,215,Faisal Ismail,504,215,215,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Entertainment/Film/Music/Modeling/Multimedia,CIKGU
08/07/2023 22:26:53,216,Norazlin,506,216,216,Engineering,Others/Undecided,CHEMICAL ENGINEER
08/07/2023 22:26:56,217,Mohd Azlan,503,217,217,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,Business/Enterpreneurship/Accounting/Banking/Finance,NOT DECIDED
08/07/2023 22:27:17,218,Siti Norfazilah,509,218,218,Engineering,Academics/Lecturer/Scientist/Zoologist/Botanist/Astrophysics,MARINE ENGINEER
08/07/2023 22:28:10,219,Amirul Hakim,504,219,219,Computer Science/IT,Entertainment/Film/Music/Modeling/Multimedia,SOFTWARE ENGINEERING
08/07/2023 22:30:16,220,Norazimah,503,220,220,Entertainment/Film/Music/Modeling/Multimedia,Entertainment/Film/Music/Modeling/Multimedia,ENGINEER
08/07/2023 22:35:48,221,Iskandar Ibrahim,501,221,221,Engineering,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,PHARMACIST 
08/07/2023 22:36:18,222,Norzila,511,222,222,Business/Enterpreneurship/Accounting/Banking/Finance,Others/Undecided,ROYAL MALAYSIAN AIR FORCE
08/07/2023 22:52:49,223,Haziqah Mohd,507,223,223,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Others/Undecided,POSITIVE CASH FLOW
09/07/2023 13:03:59,224,Nurul Izzah,507,224,224,Medical/Specialist/Dentistry/Pharmacy/Forensic/Vet/Psychology,Business/Enterpreneurship/Accounting/Banking/Finance,BANYAK DUIT
